Topic,Word
26,"['result' 'analyst' 'oz_mineral' 'year' 'management' 'newspaper'
 'really_intereste' 'buyer' 'horse' 'full' 'diploma' 'half' 'birthday'
 'practical' 'lunch' 'business' 'centre' 'say' 'course' 'rooftop' 'field'
 'first' 'dentistry' 'devote' 'reject' 'trading' 'industry' 'training'
 'recommend' 'korean' 'theoretical' 'equine' 'perfect' 'encompass'
 'definitely' 'knowledge' 'choice' 'science' 'spokesman' 'bramble'
 'spotless' 'medium' 'learn' 'school' 'guideline' 'tour' 'graduate'
 'racetrack' 'day' 'group' 'monthly' 'regional_development' 'stud'
 'circulation' 'get' 'key' 'wise' 'stable' 'visit' 'nutrition' 'echo'
 'association' 'promotion' 'weather_station' 'victorian' 'job'
 'collective' 'celebrate' 'shine' 'young' 'work' 'benefit' 'shop' 'lead'
 'advanced_manufacture' 'lot' 'promise' 'people' 'equip' 'survey'
 'payment' 'range' 'regional' 'find' 'meeting' 'other' 'sky' 'middle'
 'entertainment' 'today' 'open' 'international' 'also' 'education' 'event'
 'update' 'primary' 'estate' 'yet' 'shareholder']"
27,"['audience' 'winery' 'dance' 'regional' 'world' 'live' 'studio' 'time'
 'performance' 'page' 'art' 'north' 'digital' 'technology' 'display'
 'cellar_door' 'tasting' 'visitor' 'connect' 'create' 'say' 'upbeat'
 'apply' 'international' 'present' 'cultural' 'witness' 'website'
 'connection' 'ad' 'artwork' 'view' 'city' 'capable' 'director' 'grant'
 'moment' 'together' 'torren' 'incredibly' 'work' 'national' 'round'
 'huge' 'accolade' 'late' 'inspire' 'capture' 'science' 'become'
 'supportive' 'keyword' 'feel' 'vine' 'support' 'hub' 'presentation'
 'emerge' 'glass' 'search' 'country' 'instantly' 'film' 'partner'
 'friendly' 'wait' 'intersection' 'promise' 'thrive' 'refer'
 'organisation' 'future' 'phase' 'northeast' 'music' 'community' 'click'
 'tasty' 'right' 'statutory' 'move' 'catchy' 'stereotype' 'see'
 'distributor' 'st_century' 'end' 'dbg_technologie' 'exposure' 'bench'
 'allow' 'seemingly' 'sector' 'space' 'seat' 'radio' 'really' 'impossible'
 'elephant' 'video']"
28,"['ninth' 'pitching' 'senator' 'squeak' 'prove' 'glenelg_tiger' 'say'
 'veteran' 'year' 'home' 'first' 'beat' 'garden' 'run' 'space' 'last' 'go'
 'work' 'help' 'game' 'win' 'outstanding' 'new' 'match' 'get' 'result'
 'dominate' 'also' 'good' 'adelaide' 'australian' 'unearthly_delight'
 'industry' 'people' 'business' 'northern_district' 'strong' 'play'
 'single' 'take' 'point' 'day' 'big' 'season' 'see' 'come' 'full'
 'sturt_saint' 'satellite' 'week' 'become' 'think' 'player'
 'golden_grove_central_district' 'theatre' 'port' 'round' 'make' 'start'
 'hub' 'walk' 'lot' 'international' 'lead' 'well' 'great' 'time' 'centre'
 'show' 'performance' 'place' 'group' 'team' 'east_torren' 'foundation'
 'city' 'today' 'future' 'need' 'design' 'give' 'project' 'include' 'know'
 'back' 'look' 'opportunity' 'old' 'man' 'right' 'technology' 'wine'
 'event' 'west_torren' 'system' 'art' 'comedy' 'club' 'final' 'car']"
29,"['tier' 'timber' 'sink' 'basetec_service' 'forestry' 'roadmap' 'energy'
 'tour' 'company' 'take' 'pitch' 'blueprint' 'transition' 'considerable'
 'cease' 'host' 'explorer' 'improve_productivity' 'fibre' 'yesterday'
 'venture' 'part' 'medical' 'capitalise' 'state' 'need' 'blow'
 'manufacture' 'piece' 'rack' 'work' 'describe' 'charger' 'industry'
 'drive' 'join' 'oil' 'introduce' 'idea' 'similar' 'signostic' 'player'
 'petroleum' 'medical_device' 'downstream' 'unconventional_ga' 'dust'
 'cellulose' 'skille' 'publication' 'consensus' 'tical' 'photonic'
 'competition' 'joint' 'institute' 'comprehensive' 'ffa' 'sense' 'gather'
 'also' 'lead' 'manage' 'feel' 'exhibition' 'pink' 'ribbon' 'wanderer'
 'judge' 'next' 'sensor' 'blue_lake' 'last' 'week' 'boot' 'south' 'speak'
 'large' 'trend' 'total' 'pile' 'sport' 'come' 'palace' 'ensure' 'bid'
 'entrepreneur' 'athlete' 'minute' 'product' 'stellar' 'individual'
 'annual' 'feedback' 'quick' 'respiratory' 'european' 'maternity'
 'visitor' 'bedside']"
30,"['say' 'year' 'per_cent' 'time' 'get' 'make' 'work' 'high' 'pay' 'go'
 'government' 'need' 'spend' 'come' 'business' 'report' 'much' 'people'
 'take' 'room' 'well' 'point' 'income' 'mean' 'long' 'good' 'leave'
 'number' 'look' 'money' 'head' 'earn' 'home' 'member' 'put' 'buy' 'want'
 'see' 'price' 'australian' 'back' 'drive' 'job' 'cost' 'tell' 'deal'
 'benefit' 'right' 'tax' 'cut' 'new' 'also' 'choice' 'day' 'way' 'last'
 'seem' 'even' 'many' 'case' 'give' 'less' 'call' 'force' 'find' 'still'
 'average' 'likely' 'rate' 'full' 'city' 'low' 'end' 'believe' 'return'
 'know' 'thing' 'think' 'area' 'claim' 'policy' 'turn' 'lot' 'scheme'
 'never' 'word' 'keep' 'stop' 'sell' 'saving' 'employer' 'service'
 'different' 'state' 'labor' 'hour' 'economic' 'floor' 'superannuation'
 'however']"
31,"['say' 'go' 'time' 'year' 'get' 'take' 'first' 'day' 'apple' 'think'
 'hour' 'call' 'much' 'month' 'work' 'make' 'fit' 'way' 'thing' 'create'
 'find' 'include' 'sport' 'group' 'put' 'stead' 'next' 'launch' 'school'
 'people' 'design' 'week' 'lot' 'company' 'bit' 'probably' 'university'
 'question' 'help' 'software' 'fitness' 'education' 'come' 'found' 'base'
 'download' 'set' 'system' 'pay' 'plan' 'research' 'keep' 'high'
 'difference' 'program' 'flinder' 'really' 'report' 'walk' 'positive'
 'new' 'second' 'good' 'hardware' 'email' 'third' 'order' 'experience'
 'back' 'ask' 'also' 'do' 'hydration' 'project' 'fast' 'last' 'hand'
 'level' 'tier' 'exercise' 'brisbane' 'want' 'institution' 'end' 'various'
 'performance' 'course' 'instant' 'ready' 'focus' 'guess' 'give' 'drink'
 'require' 'team' 'prove' 'result' 'student' 'see' 'standard']"
32,"['say' 'technology' 'new' 'people' 'company' 'product' 'support' 'tree'
 'service' 'work' 'see' 'well' 'energy' 'design' 'system' 'help' 'old'
 'year' 'base' 'global' 'home' 'facility' 'co' 'need' 'innovation'
 'solution' 'research' 'time' 'local' 'power' 'organisation' 'provide'
 'future' 'want' 'give' 'area' 'adelaide' 'development' 'create' 'council'
 'centre' 'project' 'government' 'lead' 'benefit' 'developer' 'business'
 'enable' 'real' 'come' 'include' 'build' 'use' 'far' 'potential' 'adapt'
 'client' 'market' 'high' 'opportunity' 'device' 'visit' 'live'
 'battery_storage' 'world' 'display' 'group' 'globally' 'program'
 'software' 'disruption' 'senior' 'age' 'bio' 'testing' 'integrate'
 'website' 'call' 'investment' 'green' 'really' 'volume' 'implement'
 'street' 'next' 'simplify' 'also' 'residential' 'engage' 'range' 'urban'
 'part' 'dollar' 'good' 'defence' 'influencer' 'develop' 'initiative'
 'space' 'together']"
33,"['student' 'school' 'program' 'say' 'year' 'project' 'industry' 'develop'
 'skill' 'learn' 'technology' 'help' 'challenge' 'education' 'work'
 'design' 'business' 'course' 'create' 'company' 'new' 'teacher' 'child'
 'part' 'high' 'makers_empire' 'training' 'bushfire' 'future' 'include'
 'sector' 'also' 'base' 'product' 'aim' 'highlight' 'worker' 'job'
 'provide' 'select' 'local' 'code' 'commercial' 'take' 'software'
 'complete' 'group' 'system' 'involve' 'exist' 'lead' 'property'
 'application' 'participate' 'opportunity' 'nationally' 'science'
 'partnership' 'build' 'phase' 'first' 'pilot' 'advanced_manufacture'
 'community' 'vehicle' 'make' 'test' 'support' 'use' 'building' 'problem'
 'economy' 'device' 'month' 'workforce' 'interest' 'teach' 'staff' 'young'
 'give' 'encourage' 'federal_government' 'add' 'experience' 'australian'
 'open' 'sustainable' 'campus' 'run' 'compete' 'operate' 'print'
 'equipment' 'activity' 'educational' 'engineering' 'resource' 'career'
 'exhibition' 'choose']"
34,"['satellite' 'inovor_technologie' 'space' 'also' 'brightest_mind' 'well'
 'business' 'year' 'elevate' 'compensate' 'earth' 'australian' 'month'
 'rowland' 'company' 'good' 'graduate' 'next' 'engineering' 'inovor'
 'early' 'franchise' 'engineer' 'position' 'robot' 'precinct' 'say'
 'bracket' 'mission' 'open' 'aerospace_engineere' 'design' 'mechanical'
 'ever' 'apply' 'workload' 'base' 'job' 'fabrication' 'quit' 'steel'
 'internship' 'name' 'orbit' 'even' 'take' 'manufacture' 'focus' 'catch'
 'detect' 'opportunity' 'add' 'foster' 'contract' 'start' 'capability'
 'crop' 'evolve' 'new' 'really' 'pool' 'full' 'international' 'ecosystem'
 'fantastic' 'group' 'see' 'weld' 'arcemy' 'console' 'metalwork' 'test'
 'talent' 'multi_sport' 'globe' 'program' 'manage' 'find' 'specialise'
 'training' 'ramp' 'director' 'time' 'light' 'soon' 'run' 'reveal'
 'rediscover' 'educate' 'operate' 'dr_tetlow' 'school' 'owner' 'lack'
 'look' 'supply_chain' 'locally' 'join' 'believe' 'image']"
35,"['company' 'say' 'signostic' 'product' 'market' 'investment' 'base' 'year'
 'australian' 'medical_device' 'ultrasound' 'investor' 'grant' 'include'
 'device' 'capital' 'medical' 'move' 'help' 'development' 'business'
 'care' 'new' 'last' 'global' 'fund' 'invest' 'government' 'raise'
 'receive' 'former' 'provide' 'job' 'opportunity' 'support' 'sale'
 'potential' 'early_stage' 'leader' 'industry' 'also' 'technology' 'signo'
 'ultrasound_device' 'financial' 'state' 'application' 'south' 'firm'
 'make' 'private' 'build' 'launch' 'per_cent' 'manager' 'small' 'economic'
 'contract' 'develop' 'playford' 'look' 'regulatory' 'key'
 'voxon_photonic' 'affordable' 'growth' 'join' 'manufacturing' 'general'
 'expect' 'strong' 'create' 'large' 'service' 'capital_raise' 'deal'
 'site' 'overseas' 'construction' 'employ' 'part' 'number' 'grow'
 'international' 'target' 'mineral' 'portable' 'playford_capital'
 'marketing' 'close' 'economy' 'work' 'patient' 'venture_capital'
 'professional' 'giant' 'hospital' 'use' 'achieve' 'retail']"
36,"['former' 'make' 'debut' 'player' 'club' 'well' 'port' 'good' 'possession'
 'afl' 'crow' 'goal' 'start' 'show' 'extraordinary' 'brisbane' 'role'
 'defence' 'gamer' 'midfield' 'enough' 'pick' 'pyke' 'youngster' 'much'
 'first' 'league' 'day' 'new' 'adelaide' 'football' 'handy' 'style'
 'ruckman' 'south' 'size' 'touch' 'second' 'fellow' 'display' 'warm' 'key'
 'immediate' 'roo' 'week' 'draft' 'ruck' 'rookie' 'member' 'hawk'
 'phenomenal' 'gather' 'tall' 'bomber' 'boot' 'docker' 'nomination'
 'doubt' 'many' 'little' 'still' 'unsure' 'medium' 'grant' 'positive'
 'teen' 'complement' 'fade' 'put' 'add' 'remain' 'season' 'migrant'
 'football_club' 'deliver' 'impact' 'bring' 'night' 'quote' 'couple'
 'time' 'fail' 'com_aucredit' 'coaching' 'one' 'appear' 'pleasing'
 'umpire' 'corporate' 'develop' 'coach' 'contact' 'kangaroo' 'also'
 'require' 'else' 'belated' 'bulldogswith' 'serviceable' 'torney']"
37,"['pm' 'free' 'today' 'cuisine' 'tomorrow' 'market' 'art' 'sun' 'gallery'
 'festival' 'fresh' 'show' 'architect' 'rage' 'exhibition' 'beach'
 'artist' 'fun' 'daily' 'tonight' 'style' 'surfers_paradise' 'plant'
 'pavilion' 'open' 'entertainment' 'family' 'opera' 'queen' 'event' 'park'
 'make' 'noon' 'gold_coast' 'mic' 'finalist' 'craft' 'original' 'designer'
 'film' 'activity' 'cultural' 'jazz' 'palace' 'music' 'parade' 'organic'
 'local' 'include' 'mirage' 'shark' 'play' 'cloud_base' 'runway'
 'underwear' 'helm' 'fruit' 'link' 'kid' 'farmer' 'co' 'museum' 'symphony'
 'set' 'workshop' 'cooking' 'design' 'live' 'illusion' 'surfer' 'teen'
 'talent' 'animal' 'oil' 'southport' 'star' 'water' 'close' 'competition'
 'holiday' 'big' 'medicinal' 'showground' 'masterchef' 'piece' 'next'
 'rug' 'veneer' 'funk' 'learn' 'board' 'label' 'tamborine' 'veg'
 'irrigation' 'atmosphere' 'time' 'sand' 'low' 'resort']"
38,"['develop' 'company' 'award' 'receive' 'also' 'commercial' 'device'
 'system' 'test' 'technology' 'health' 'gene' 'science' 'adelaide' 'grant'
 'funding' 'digital' 'online' 'signostic' 'venture' 'analysis'
 'diagnostic' 'commercialise' 'doctor' 'mining' 'gain' 'reproductive'
 'readygrant' 'federal' 'adaptive' 'invention' 'touche' 'kojo'
 'instrument' 'signage' 'say' 'year' 'get' 'make' 'go' 'energy' 'business'
 'warrior' 'take' 'see' 'office' 'program' 'work' 'star' 'new' 'first'
 'save' 'player' 'environment' 'start' 'lead' 'game' 'cancer' 'city' 'man'
 'help' 'australian' 'play' 'research' 'change' 'deliver' 'good' 'look'
 'build' 'project' 'need' 'big' 'way' 'want' 'state' 'join' 'think' 'come'
 'rating' 'run' 'commit' 'group' 'last' 'property' 'allow' 'people'
 'small' 'co' 'much' 'problem' 'improve' 'really' 'reduce' 'become'
 'tenant' 'environmental' 'per_cent' 'emission' 'old' 'car']"
39,"['say' 'business' 'technology' 'radar' 'system' 'insurance' 'defence'
 'clock' 'average' 'per_cent' 'precise' 'ultra' 'turnover_growth' 'time'
 'high' 'accuracy' 'turnover' 'provide' 'electrical' 'many' 'contract'
 'service' 'local' 'year' 'employee' 'production' 'policy' 'cover'
 'fast_mover' 'glimpse' 'weak' 'develop' 'save' 'use' 'commercial'
 'frequency' 'today' 'yate' 'aquarium' 'covid' 'travel' 'agm' 'oil' 'part'
 'grow' 'noise' 'military' 'saving' 'destination' 'spending' 'size'
 'small' 'make' 'sapphire' 'currency' 'improve' 'online' 'budget'
 'seed_terminator' 'company' 'design' 'key' 'investment' 'supplier'
 'profitability' 'signal' 'extreme' 'jorn' 'possible' 'extremely'
 'rapid_growth' 'honeymoon' 'money' 'forget' 'detect' 'buffer'
 'artificially' 'range' 'development' 'capability' 'network' 'agility'
 'construction' 'motorcycle' 'graphic' 'manage' 'hotel' 'project' 'low'
 'northern' 'month' 'voltage' 'firetail' 'rate' 'spare' 'work' 'flight'
 'coincide' 'annual' 'data_analytic']"
40,"['cancer' 'say' 'cell' 'research' 'new' 'treatment' 'develop' 'disease'
 'protein' 'gene' 'patient' 'lead' 'scientist' 'find' 'allow' 'process'
 'target' 'tumour' 'drug' 'australian' 'make' 'time' 'system' 'therapy'
 'progress' 'identify' 'defence' 'medical' 'grant' 'also' 'genetic'
 'cause' 'researcher' 'result' 'world' 'year' 'call' 'satellite'
 'proteomic' 'early_stage' 'involve' 'professor' 'last' 'treat' 'come'
 'vaccine' 'well' 'pacer' 'advance' 'think' 'way' 'important' 'funding'
 'look' 'accelerate' 'technology' 'field' 'microrna' 'human' 'breast'
 'young' 'blood' 'test' 'woman' 'potential' 'take' 'level' 'per_cent'
 'type' 'early' 'science' 'part' 'base' 'first' 'growth' 'death' 'form'
 'cure' 'thank' 'rise' 'change' 'occur' 'body' 'work' 'molecular'
 'available' 'promise' 'know' 'facility' 'solid' 'grow' 'highly' 'machine'
 'play' 'people' 'sample' 'active' 'rapidly' 'switch' 'therefore']"
41,"['care' 'careapp' 'family' 'aged_care' 'member' 'home' 'say' 'carer'
 'update' 'investment' 'known' 'help' 'provider' 'allow' 'app' 'invest'
 'keep' 'company' 'receive' 'information' 'visit' 'monitor' 'biotech'
 'relative' 'inject' 'window' 'view' 'people' 'record' 'australian'
 'regularly' 'southern_angel' 'ms_nikula' 'country' 'medication' 'note'
 'investor' 'expertise' 'group' 'sector' 'support' 'team' 'photograph'
 'change' 'royal_commission' 'progress' 'make' 'physical' 'start_up'
 'service_provider' 'smartphone_app' 'eye' 'sign' 'market' 'month'
 'recent' 'adelaide' 'last' 'licence' 'next' 'aged_care_provider' 'time'
 'young' 'part' 'provide' 'local' 'scheme' 'permission' 'mood' 'customer'
 'smartphone' 'net_worth_individual' 'include' 'welfare' 'front' 'profit'
 'pitch' 'creator' 'even' 'early_stage' 'take' 'entrepreneur'
 'founder_allison_nikula' 'wash' 'tech' 'use' 'late' 'review' 'restore'
 'expand' 'high' 'money' 'challenger' 'angel' 'fund' 'roll' 'direct'
 'rare' 'design' 'accurately']"
42,"['geek' 'combination' 'secret_service' 'mr_trump' 'pitching' 'weapon'
 'new' 'unknown' 'expectation' 'hitter' 'extra' 'thank' 'riot' 'massive'
 'wave' 'bite' 'angel' 'show' 'photo' 'male' 'pm' 'blunder' 'homer'
 'defensive' 'white_house' 'glenelg' 'race' 'nail' 'darren_white' 'minute'
 'affair' 'recent' 'wait' 'mod' 'allow' 'entrepreneur' 'later' 'boast'
 'pitcher' 'root' 'bill' 'joke' 'define' 'heartache' 'day' 'group'
 'formidable' 'team' 'young' 'old' 'early' 'head' 'key' 'woman'
 'presentation' 'chance' 'rival' 'cap' 'necessary' 'offensive' 'finale'
 'territory' 'tight' 'designate' 'showdown' 'catcher' 'serie' 'firebrand'
 'dilute' 'coronaviru' 'abruptly' 'speak' 'mercy' 'local' 'outfit' 'event'
 'form' 'rule' 'premier' 'port' 'innovation' 'say' 'start_up' 'need'
 'third' 'playoff' 'title' 'year' 'seem' 'bar' 'adelaide' 'league' 'first'
 'minor' 'start' 'metre' 'pick' 'stage' 'beach' 'name']"
43,"['lettuce' 'chaff' 'grower' 'weed' 'fuel' 'achieve' 'consumption'
 'different' 'project' 'medic' 'setting' 'type' 'scenario' 'tare'
 'capacity' 'condition' 'harvester' 'field' 'wild' 'cost' 'test'
 'management' 'specie' 'well' 'crop' 'control' 'new' 'process' 'available'
 'rotation' 'method' 'capturing' 'legume' 'simulate' 'intact' 'validate'
 'oat' 'static' 'narrow' 'scale' 'hammermill' 'turnip' 'usage' 'brome'
 'efficacy' 'iwm' 'prickly' 'problematic' 'prominently' 'assess'
 'perspective' 'anecdotally' 'speed' 'approach' 'consult' 'flow'
 'encounter' 'balance' 'trade' 'assessment' 'integrate' 'expect' 'fund'
 'optimise' 'represent' 'wide_range' 'optimal' 'question' 'much' 'set'
 'term' 'give' 'strategy' 'vary' 'key' 'work' 'drive' 'radish' 'burn'
 'local' 'collect' 'hope' 'wheat' 'good' 'incorporate' 'power' 'many'
 'find' 'technology' 'measure' 'feature' 'machine' 'focus' 'lot' 'also'
 'component' 'say' 'big' 'aim' 'manage']"
44,"['soft' 'glass' 'road' 'car' 'option' 'pc' 'driver' 'australian' 'elder'
 'sit' 'new' 'restaurant' 'street' 'race' 'lane' 'drive' 'offer' 'rural'
 'motor' 'brake' 'engine' 'condition' 'sensor' 'view' 'place' 'studio'
 'fuel' 'spacecraft' 'grand' 'high' 'speed' 'team' 'course' 'crop'
 'participate' 'available' 'wheel' 'tree' 'service' 'seafood' 'safety'
 'branch' 'scenic' 'company' 'supply' 'wool' 'term' 'solid' 'gross'
 'price' 'market' 'product' 'automobile' 'crew' 'jack' 'light' 'select'
 'jump' 'radar' 'emergency' 'continue' 'flagship' 'hazard' 'north_terrace'
 'hone' 'mere' 'zip' 'location' 'prevent' 'kg' 'livestock' 'indicate'
 'control' 'list' 'circuit' 'tea' 'encompass' 'commercial' 'improved'
 'pit' 'trading' 'division' 'pace' 'camera' 'slow' 'km' 'planting' 'major'
 'combine' 'return' 'protection' 'vehicle' 'expect' 'wholesale' 'distance'
 'suit' 'formula' 'automatically' 'lofty' 'post']"
45,"['coincidentally' 'bid' 'readiness' 'interim' 'appointment' 'shelley'
 'assist' 'interest' 'head' 'unisa' 'delighted' 'expat' 'msc' 'trustee'
 'off' 'lodge' 'caretaker' 'submit' 'tick' 'meantime' 'alumnus'
 'separately' 'comply' 'found' 'strongly' 'longer_term' 'proviso' 'engage'
 'non' 'connection' 'former' 'son' 'compliance' 'manage' 'elaine_stead'
 'current' 'young' 'role' 'right' 'say' 'manager' 'new' 'cancer'
 'treatment' 'gene' 'fund' 'dark' 'lymphoma' 'assess' 'government' 'base'
 'cell' 'run' 'group' 'also' 'microrna' 'drug' 'therapy' 'exist' 'protein'
 'research' 'genetic' 'period' 'disease' 'per_cent' 'business' 'science'
 'cervical' 'advance' 'breast_cancer' 'inhibit' 'tumour' 'identify'
 'develop' 'target' 'case' 'process' 'well' 'patient' 'offer' 'biological'
 'breast' 'professor_graeme' 'come' 'cause' 'present' 'act' 'people'
 'personalise' 'space' 'diseased' 'team' 'seek' 'take' 'rise' 'leukemia'
 'change' 'facility' 'estimate' 'available']"
46,"['call' 'email' 'unit' 'planned' 'management' 'handmade' 'business'
 'event' 'nursing' 'bladder' 'tutorial' 'affordability' 'bladder_scanner'
 'group' 'keynote' 'home' 'system' 'care' 'signosrt' 'enterprise'
 'conference' 'visit' 'workshop' 'topic' 'infection' 'service'
 'ultrasound' 'boost' 'com' 'district' 'say' 'executive' 'project'
 'information' 'register' 'fit' 'new' 'akhtar' 'template' 'strategy'
 'product' 'aboriginal' 'grant' 'launch' 'world' 'orient' 'manufacture'
 'case' 'meal' 'easy' 'class' 'hospital' 'address' 'write' 'architecture'
 'public' 'engineering' 'chain' 'tough' 'software' 'talk' 'urinary'
 'catheter' 'bedside' 'rotation' 'tess' 'registration' 'server' 'cover'
 'info' 'automatically' 'use' 'certify' 'access' 'purchase' 'sky'
 'energy_storage' 'volume' 'quality' 'couple' 'hand' 'rydge' 'whatsoever'
 'scalability' 'area' 'present' 'derive' 'international' 'lead' 'likely'
 'org' 'interconnect' 'always' 'today' 'hotel' 'program' 'member' 'mobile'
 'calculate' 'technology']"
47,"['win' 'hill' 'fan' 'science' 'year' 'club' 'supporter' 'show' 'start'
 'say' 'great' 'season' 'post' 'player' 'horse' 'coach' 'lose' 'love'
 'australian' 'reinforce' 'group' 'game' 'adelaide' 'power' 'program'
 'team' 'southstart_accelerate' 'crow' 'back' 'child' 'demand' 'trick'
 'difference' 'gold' 'large' 'premiership' 'run' 'landlord' 'explosion'
 'native' 'photo' 'night' 'huge' 'shipping' 'try' 'attendance' 'do' 'bell'
 'popular' 'fitout' 'retail_fitout' 'review' 'slug' 'miss' 'effort' 'down'
 'port' 'hand' 'proud' 'robotic' 'way' 'pride' 'hard' 'visitor' 'follow'
 'already' 'event' 'history' 'frustration' 'week' 'rebuild' 'first' 'play'
 'today' 'acumen' 'duo' 'south' 'news' 'ordinate' 'spark' 'last' 'session'
 'comment' 'anger' 'well' 'showground' 'accept' 'interactive' 'round'
 'real' 'promote' 'environment' 'camera' 'away' 'flick' 'concession'
 'feed' 'fun' 'park' 'free']"
48,"['say' 'year' 'nbn' 'local' 'sex' 'ponte' 'yesterday' 'station' 'think'
 'news' 'tv' 'much' 'run' 'make' 'sure' 'talk' 'want' 'world' 'strong'
 'tremendous' 'go' 'black' 'personality' 'medium' 'artist' 'build' 'old'
 'game' 'factory' 'life' 'punter' 'day' 'less' 'total' 'week' 'time'
 'central' 'good' 'public_hospital' 'bit' 'way' 'graduation' 'blue_gum'
 'ms_danver' 'channel' 'first' 'fear' 'cap' 'woman' 'hunter' 'wilderness'
 'girl' 'team' 'anti' 'arm' 'nationwide' 'leave' 'special' 'regional'
 'back' 'chinese' 'policy' 'eventually' 'overnight' 'son' 'cosmetic'
 'continue' 'well' 'pbl' 'crave' 'blow' 'competition' 'share' 'trap'
 'production' 'type_diabete' 'kiwis' 'verbal' 'glenn_mcgrath' 'school'
 'cocktail' 'tour' 'last' 'thing' 'complete' 'hope' 'future' 'grasp'
 'mortal' 'add' 'new' 'put' 'let' 'bowl_quick' 'keep' 'page' 'spoil'
 'series' 'work' 'also']"
49,"['say' 'state' 'future' 'community' 'year' 'government' 'manufacture'
 'manufacturing' 'local' 'innovation' 'centre' 'see' 'industry' 'city'
 'tonsley' 'building' 'great' 'move' 'want' 'plan' 'process' 'opportunity'
 'bring' 'project' 'business' 'new' 'credit' 'hill' 'announce' 'site'
 'inaugural' 'open' 'build' 'development' 'facility' 'precinct' 'effort'
 'part' 'strength' 'progress' 'work' 'automotive' 'council' 'space'
 'national' 'close' 'early' 'technology' 'area' 'use' 'population'
 'international' 'lead' 'look' 'first' 'potential' 'design' 'purpose'
 'operation' 'idea' 'south' 'make' 'focus' 'achieve' 'innovative'
 'however' 'service' 'engineering' 'access' 'become' 'pretty' 'art'
 'recognise' 'begin' 'welcome' 'show' 'provide' 'resident' 'speed'
 'research' 'inspire' 'initiative' 'impact' 'target' 'think'
 'construction' 'exist' 'market' 'pod' 'carbon_neutral' 'modern' 'operate'
 'real' 'understand' 'even' 'last' 'strategic' 'value' 'organisation' 'do']"
50,"['say' 'technology' 'world' 'company' 'industry' 'wine' 'tech'
 'australian' 'partner' 'big' 'make' 'research' 'defence' 'program'
 'system' 'project' 'lead' 'people' 'show' 'well' 'help' 'work' 'first'
 'new' 'global' 'also' 'exciting' 'expensive' 'deliver' 'get' 'develop'
 'use' 'huge' 'create' 'come' 'hub' 'real' 'activity' 'job' 'state' 'time'
 'engineer' 'team' 'boulder' 'set' 'bring' 'fund' 'track' 'ability'
 'bright' 'film' 'aim' 'star' 'local' 'development' 'year' 'see'
 'satellite' 'opportunity' 'robotic' 'stream' 'radio' 'datum' 'complete'
 'good' 'leader' 'evolve' 'interview' 'part' 'hot' 'week' 'pull' 'digital'
 'co' 'presence' 'tv' 'line' 'love' 'base' 'provide' 'influencer'
 'expertise' 'lab' 'thing' 'often' 'vision' 'month'
 'southstart_conference' 'space' 'accord' 'move' 'adelaide'
 'international' 'ai' 'include' 'explore' 'public' 'product' 'group'
 'brand']"
51,"['coffee' 'course' 'road' 'port' 'head' 'anxiety' 'misconduct' 'license'
 'avenue' 'breaker' 'observation' 'fletcher' 'photo' 'foul' 'house' 'cat'
 'brent' 'use' 'staff' 'jim_whalley' 'key' 'resident' 'rejection'
 'notification' 'church' 'ray' 'video' 'grandparent' 'unharmed' 'kneee'
 'matchesround' 'damian' 'hird' 'quartet' 'grgic' 'disappoint' 'three'
 'bench' 'ironically' 'ease' 'communication' 'qualifying_final' 'channel'
 'news' 'colleague' 'table' 'chat' 'highlight' 'live' 'stress'
 'capital_raise' 'ping' 'message' 'pong' 'achievement' 'newsletter' 'lean'
 'expert' 'nationally' 'app' 'meanwhile' 'believe' 'form' 'easy'
 'expansion' 'direct' 'ongoing' 'help' 'family' 'spend' 'welfare' 'player'
 'residential' 'hub' 'become' 'strongly' 'time' 'careapp' 'get' 'say'
 'lot_fourteen' 'process' 'future' 'stone_chalk' 'well' 'attempt' 'member'
 'last' 'mentor' 'run' 'go' 'year' 'also' 'move' 'idea' 'event' 'first'
 'opportunity' 'ecosystem' 'point']"
52,"['season' 'player' 'get' 'coach' 'game' 'warrior' 'team' 'go' 'club' 'say'
 'make' 'play' 'year' 'good' 'last' 'return' 'need' 'win' 'ball' 'round'
 'point' 'well' 'guy' 'import' 'also' 'new' 'expect' 'league' 'try' 'open'
 'bite' 'come' 'look' 'side' 'big' 'week' 'change' 'tough' 'back' 'port'
 'old' 'hawk' 'tonight' 'tiger' 'kick' 'guard' 'former' 'bulldog' 'help'
 'in' 'see' 'illawarra' 'step' 'end' 'nbl' 'championship' 'lose' 'place'
 'final' 'debut' 'defend' 'junior' 'far' 'part' 'career' 'move' 'want'
 'really' 'start' 'line' 'injury' 'defensive' 'adelaide' 'ahead' 'key'
 'bring' 'watch' 'early' 'record' 'chance' 'title' 'time' 'still' 'saint'
 'challenge' 'favourite' 'loss' 'defence' 'sign' 'recruit' 'mistake'
 'champion' 'juggle' 'young' 'ability' 'little_bit' 'man' 'close' 'always'
 'develop']"
